City,Population_2011,Population_2001,State_or_UT
Mumbai,12442373,11978450,Maharashtra
Delhi,11034555,9879172,Delhi
Bengaluru,8443675,5682293,Karnataka
Hyderabad,6993262,5496960,Telangana
Ahmedabad,5577940,4470006,Gujarat
Chennai,4646732,4343645,Tamil Nadu
Kolkata,4496694,4580546,West Bengal
Surat,4467797,2788126,Gujarat
Pune,3124458,2538473,Maharashtra
Jaipur,3046163,2322575,Rajasthan
Lucknow,2817105,2185927,Uttar Pradesh
Kanpur,2765348,2551337,Uttar Pradesh
Nagpur,2405665,2052066,Maharashtra
Indore,1964086,1503237,Madhya Pradesh
Thane,1841488,1262551,Maharashtra
Bhopal,1798218,1458416,Madhya Pradesh
Visakhapatnam,1728128,1345938,Andhra Pradesh
Pimpri-Chinchwad,1727692,1020448,Maharashtra
Patna,1684222,1431477,Bihar
Vadodara,1670806,1338244,Gujarat
Ghaziabad,1648643,968256,Uttar Pradesh
Ludhiana,1618879,1398467,Punjab
Agra,1585704,1275134,Uttar Pradesh
Nashik,1486053,1077236,Maharashtra
Faridabad,1414050,1055938,Haryana
Meerut,1305429,1068772,Uttar Pradesh
Rajkot,1286678,967476,Gujarat
Kalyan-Dombivli,1247327,1193512,Maharashtra
Vasai-Virar,1222390,518601,Maharashtra
Varanasi,1198491,1103952,Uttar Pradesh
Srinagar,1180570,935764,Jammu and Kashmir
Aurangabad,1175116,873311,Maharashtra
Dhanbad,1162472,1031523,Jharkhand
Amritsar,1132383,979801,Punjab
Navi Mumbai,1120547,704002,Maharashtra
Prayagraj,1112544,975393,Uttar Pradesh
Howrah,1077075,1007532,West Bengal
Ranchi,1073427,847093,Jharkhand
Jabalpur,1055525,951472,Madhya Pradesh
Gwalior,1054420,827026,Madhya Pradesh
Coimbatore,1050721,930882,Tamil Nadu
Vijayawada,1034358,941760,Andhra Pradesh
Jodhpur,1033756,856525,Rajasthan
Madurai,1017865,928869,Tamil Nadu
Raipur,1010433,707469,Chhattisgarh
Kota,1001694,703150,Rajasthan
